mix compile
-------------------------------------------------------------------
server3-0036 role=LEADER    term=515 !inf "Become leader"
server1-0022 role=LEADER    term=517 !inf "Become leader"
server3-0037 role=LEADER    term=518 !inf "Become leader"
server5-0042 role=LEADER    term=519 !inf "Become leader"
server4-0042 role=LEADER    term=520 !inf "Become leader"
server2-0099 role=LEADER    term=521 !inf "Become leader"
server2-0100 role=LEADER    term=523 !inf "Become leader"
server4-0043 role=LEADER    term=528 !inf "Become leader"
server5-0043 role=LEADER    term=534 !inf "Become leader"
server5-0044 role=LEADER    term=536 !inf "Become leader"
server2-0101 role=LEADER    term=539 !inf "Become leader"
server1-0023 role=LEADER    term=540 !inf "Become leader"
server2-0102 role=LEADER    term=542 !inf "Become leader"
server2-0103 role=LEADER    term=544 !inf "Become leader"
  time = 9000 client requests seen = [{1, 22}, {2, 540}, {3, 3}, {5, 129}]
  time = 9000      db updates done = [{1, 654}, {2, 654}, {3, 654}, {4, 654}, {5, 654}]

server2-0104 role=LEADER    term=546 !inf "Become leader"
server4-0044 role=LEADER    term=548 !inf "Become leader"
server5-0045 role=LEADER    term=550 !inf "Become leader"
server2-0105 role=LEADER    term=555 !inf "Become leader"
server4-0045 role=LEADER    term=557 !inf "Become leader"
server5-0046 role=LEADER    term=559 !inf "Become leader"
server1-0024 role=LEADER    term=562 !inf "Become leader"
server4-0046 role=LEADER    term=563 !inf "Become leader"
server2-0106 role=LEADER    term=569 !inf "Become leader"
server5-0047 role=LEADER    term=571 !inf "Become leader"
server2-0107 role=LEADER    term=572 !inf "Become leader"
server2-0108 role=LEADER    term=574 !inf "Become leader"
server4-0047 role=LEADER    term=578 !inf "Become leader"
server2-0109 role=LEADER    term=579 !inf "Become leader"
server2-0110 role=LEADER    term=580 !inf "Become leader"
server4-0048 role=LEADER    term=582 !inf "Become leader"
server2-0111 role=LEADER    term=584 !inf "Become leader"
server5-0048 role=LEADER    term=586 !inf "Become leader"
  time = 9500 client requests seen = [{1, 22}, {2, 540}, {3, 3}, {5, 134}]
  time = 9500      db updates done = [{1, 657}, {2, 657}, {3, 657}, {4, 657}, {5, 658}]

server4-0049 role=LEADER    term=587 !inf "Become leader"
server1-0025 role=LEADER    term=588 !inf "Become leader"
server4-0050 role=LEADER    term=592 !inf "Become leader"
server1-0026 role=LEADER    term=594 !inf "Become leader"
