mix compile
-------------------------------------------------------------------
  time = 500 client requests seen = []
  time = 500      db updates done = []
server2-0065 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server5"
server2-0065 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0065 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18340.147.0>, index: 0, server_num: 1, success: true}}
server2-0066 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server1"
server2-0066 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0066 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18341.147.0>, index: 0, server_num: 3, success: true}}
server2-0067 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server3"
server2-0067 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0067 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18342.147.0>, index: 0, server_num: 4, success: true}}
server2-0068 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server4"
server2-0068 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0068 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18343.147.0>, index: 0, server_num: 5, success: true}}
server2-0069 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server5"
server2-0069 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0069 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18340.147.0>, index: 0, server_num: 1, success: true}}
server2-0070 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server1"
server2-0070 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0070 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18341.147.0>, index: 0, server_num: 3, success: true}}
server2-0071 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server3"
server2-0071 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0071 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18342.147.0>, index: 0, server_num: 4, success: true}}
server2-0072 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server4"
server2-0072 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0072 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18343.147.0>, index: 0, server_num: 5, success: true}}
server2-0073 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server5"
server2-0073 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0073 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18340.147.0>, index: 0, server_num: 1, success: true}}
server2-0074 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server1"
server2-0074 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0074 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18341.147.0>, index: 0, server_num: 3, success: true}}
server2-0075 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server3"
server2-0075 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0075 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18342.147.0>, index: 0, server_num: 4, success: true}}
server2-0076 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server4"
server2-0076 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0076 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18343.147.0>, index: 0, server_num: 5, success: true}}
server2-0077 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server5"
server2-0077 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0077 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18340.147.0>, index: 0, server_num: 1, success: true}}
server2-0078 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server1"
server2-0078 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0078 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18341.147.0>, index: 0, server_num: 3, success: true}}
server2-0079 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server3"
server2-0079 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0079 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18342.147.0>, index: 0, server_num: 4, success: true}}
server2-0080 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server4"
server2-0080 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0080 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18343.147.0>, index: 0, server_num: 5, success: true}}
server2-0081 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server5"
server2-0081 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0081 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18340.147.0>, index: 0, server_num: 1, success: true}}
server2-0082 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server1"
server2-0082 role=LEADER    term=002 -arep "Count of entry committed = 1"
server2-0082 role=LEADER    term=002 -arep {:APPEND_ENTRIES_REPLY, 2, %{followerP: #PID<18341.147.0>, index: 0, server_num: 3, success: true}}
server2-0083 role=LEADER    term=002 -arep "Update next_index = 1, match_index = 0 of server3"
server2-0083 role=LEADER    term=002 -arep "Count of entry committed = 1"
